smiles,pIC50
CC[C@H](NC(=O)[C@H](Cc1ccc(P(=O)(O)O)cc1)NC(C)=O)C(=O)N(C)CCCC1CCCCC1,5.214670164989233
CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccc(P(=O)(O)O)cc1)NC(C)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)O,4.657577319177793
CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccc(P(=O)(O)O)cc1)NC(C)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)O,5.173925197299174
CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](Cc1ccc(OP(=O)(O)O)cc1)NC(C)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)O,4.815308569182401
CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](Cc1ccc(OP(=O)(O)O)cc1)NC(C)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)O,6.301029995663981
CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](Cc1ccc(OP(=O)(O)O)cc1)NC(C)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)O,5.8696662315049934
C=C(CN(C)C)C(=O)c1ccc(OS(=O)(=O)c2ccc(C(=O)O)cc2)cc1,4.301029995663981
O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,5.0
O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,4.1249387366083
O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,4.4089353929735005
O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,6.3979400086720375
O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,4.008773924307505
O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,4.235226283088959
O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,4.031517051446065
O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,4.167554958825889
O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,3.6020599913279625
O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,3.431798275933005
